³¯Â¥,±èÄ¡
2019-06-18,18
2019-06-19,20
2019-06-20,17
2019-06-21,14
2019-06-22,14
2019-06-23,19
2019-06-24,20
2019-06-25,21
2019-06-26,20
2019-06-27,16
2019-06-28,14
2019-06-29,14
2019-06-30,18
2019-07-01,25
2019-07-02,22
2019-07-03,18
2019-07-04,17
2019-07-05,14
2019-07-06,14
2019-07-07,19
2019-07-08,22
2019-07-09,22
2019-07-10,20
2019-07-11,18
2019-07-12,14
2019-07-13,15
2019-07-14,21
2019-07-15,26
2019-07-16,23
2019-07-17,22
2019-07-18,19
2019-07-19,16
2019-07-20,18
2019-07-21,22
2019-07-22,23
2019-07-23,23
2019-07-24,23
2019-07-25,23
2019-07-26,19
2019-07-27,17
2019-07-28,22
2019-07-29,26
2019-07-30,23
2019-07-31,23
2019-08-01,25
2019-08-02,17
2019-08-03,17
2019-08-04,24
2019-08-05,29
2019-08-06,28
2019-08-07,28
2019-08-08,25
2019-08-09,22
2019-08-10,19
2019-08-11,26
2019-08-12,30
2019-08-13,31
2019-08-14,26
2019-08-15,32
2019-08-16,26
2019-08-17,25
2019-08-18,29
2019-08-19,37
2019-08-20,33
2019-08-21,33
2019-08-22,31
2019-08-23,23
2019-08-24,27
2019-08-25,29
2019-08-26,34
2019-08-27,32
2019-08-28,33
2019-08-29,28
2019-08-30,26
2019-08-31,26
2019-09-01,35
2019-09-02,37
2019-09-03,36
2019-09-04,36
2019-09-05,31
2019-09-06,24
2019-09-07,24
2019-09-08,24
2019-09-09,20
2019-09-10,14
2019-09-11,10
2019-09-12,9
2019-09-13,11
2019-09-14,19
2019-09-15,26
2019-09-16,33
2019-09-17,31
2019-09-18,27
2019-09-19,27
2019-09-20,23
2019-09-21,24
2019-09-22,32
2019-09-23,35
2019-09-24,30
2019-09-25,33
2019-09-26,29
2019-09-27,24
2019-09-28,23
2019-09-29,30
2019-09-30,36
2019-10-01,36
2019-10-02,34
2019-10-03,32
2019-10-04,29
2019-10-05,29
2019-10-06,35
2019-10-07,44
2019-10-08,33
2019-10-09,38
2019-10-10,39
2019-10-11,35
2019-10-12,33
2019-10-13,41
2019-10-14,50
2019-10-15,50
2019-10-16,43
2019-10-17,46
2019-10-18,44
2019-10-19,38
2019-10-20,51
2019-10-21,58
2019-10-22,53
2019-10-23,54
2019-10-24,53
2019-10-25,44
2019-10-26,38
2019-10-27,61
2019-10-28,77
2019-10-29,71
2019-10-30,55
2019-10-31,53
2019-11-01,53
2019-11-02,54
2019-11-03,64
2019-11-04,81
2019-11-05,73
2019-11-06,67
2019-11-07,68
2019-11-08,65
2019-11-09,60
2019-11-10,75
2019-11-11,89
2019-11-12,79
2019-11-13,80
2019-11-14,78
2019-11-15,75
2019-11-16,70
2019-11-17,87
2019-11-18,100
2019-11-19,93
2019-11-20,79
2019-11-21,70
2019-11-22,63
2019-11-23,62
2019-11-24,64
2019-11-25,73
2019-11-26,61
2019-11-27,52
2019-11-28,45
2019-11-29,38
2019-11-30,39
2019-12-01,52
2019-12-02,57
2019-12-03,47
2019-12-04,41
2019-12-05,36
2019-12-06,29
2019-12-07,30
2019-12-08,35
2019-12-09,35
2019-12-10,35
2019-12-11,32
2019-12-12,24
2019-12-13,20
2019-12-14,21
2019-12-15,24
2019-12-16,25
2019-12-17,21
2019-12-18,20
2019-12-19,18
2019-12-20,15
2019-12-21,21
2019-12-22,19
2019-12-23,18
2019-12-24,13
2019-12-25,16
2019-12-26,16
2019-12-27,13
2019-12-28,14
2019-12-29,17
2019-12-30,16
2019-12-31,14
2020-01-01,17
